Feature ID,Feature Name,Feature Description,Rule ID,Rule Title,Scenario ID,Scenario Title,Scenario Steps,Scenario Tags,Work Item ID,Work Item Type,Work Item Title,Effort Points,Completion Sprint
1163,"Administration: Definition of Done Checklist Management","",1164,"A Definition of Done Checklist Item must have text",1169,"A Checklist Item has no text","Given that a user has added a Checklist Item
When the Checklist Item has no text
Then the Checklist cannot be saved","",413,"User Story","[Administration] Add checklists to Workstates assign to a Project",6,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1164,"A Definition of Done Checklist Item must have text",1170,"A Checklist Item with alpha numeric text","Given a user has added a Checklist Item
When the user enters ""Reviewed by at least 1 developer""
And no Checklist Items are blank/empty
Then the Checklist can be saved","",413,"User Story","[Administration] Add checklists to Workstates assign to a Project",6,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1166,"A Definition of Done Checklist Item can be deleted ",1171,"The Delete button is pressed","Given a Checklist Item
When the Delete button associated with that item is pressed
Then the Checklist Item is deleted from the checklist","",413,"User Story","[Administration] Add checklists to Workstates assign to a Project",6,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1167,"A Definition of Done Checklist Item can be edited",1172,"The Checklist Item text is changed to valid alphanumeric text and is not empty","Given a Checklist Item: ""I is a checklist item""
When the item is edited to ""I am a checklist item""
Then the checklist can be saved","",413,"User Story","[Administration] Add checklists to Workstates assign to a Project",6,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1167,"A Definition of Done Checklist Item can be edited",1173,"The text is changed to empty text","Given a Checklist Item: ""I am a checklist item""
When the item is edited to "" ""
Then the checklist can not be saved","",413,"User Story","[Administration] Add checklists to Workstates assign to a Project",6,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1168,"A Definition of Done Checklist belongs to a Workstate",1174,"A Checklist with 3 items is save under a Workstate","Given a user is editing a Workstate
Then a Checklist can be attached to a Workstate","",413,"User Story","[Administration] Add checklists to Workstates assign to a Project",6,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1181,"A Definition of done checklist is displayed as a separate tab on the card",1185,"Definition of done checklist is displayed as a separate tab on the card","Given a card is displayed in the open column
When the card is clicked to view the details
Then the 'Definition of done' is a tab on the top row","",425,"User Story","[Kanban] Display definition of done checklist",2,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1182,"A Definition of done checklist items have a tick box and comment section",1186,"Definition of done checklist items have a tick box and comment section","Given a card on mission control Kanban board
When the 'definition of done' tab is selected
Then each item on the checklist has a tick box
And each item on the checklist has a comment section","",425,"User Story","[Kanban] Display definition of done checklist",2,"Sprint 20"
1163,"Administration: Definition of Done Checklist Management","",1183,"If a tick box is left blank on the 'definition of done checklist' a comment has to be entered for the card to be moved forward",1188,"***TBC*** If a tick box is left blank on the 'definition of done checklist' a comment has to be entered for the card to be moved forward","Given a card in the 'Open' lane of mission control
When the 'definition of done' tab is selected
And the Checklist has at least one item unchecked
And no comment is entered
And the card is attempted to move forward across lanes
Then ***TBC***","",,,,,
1163,"Administration: Definition of Done Checklist Management","",1184,"A Definition of done checklist displays checklists for all lanes separated into sections",1187,"Definition of done checklist displays checklists for all lanes separated into sections","Given a card in the <Lane Example> lane of mission control
When the 'definition of done' tab is selected
Then checklists are displayed in sections matching the lane names on the Kanban board 
(for example: Open, Planned, In Progress, For Review, In Testing, Done)
And all the checklist sections except <Lane Example> are greyed out

<Lane Example>
| Open |
| Planned |
| In Progress |
| For Review |
| In Testing |
| Done |","",425,"User Story","[Kanban] Display definition of done checklist",2,"Sprint 20"
